name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
Connect4,0.8504351945052993,6.7962281703948975,3.1243081092834473,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.5163043478260869,0.26300048828125,0.08264517784118652,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.49184782608695654,0.2628791332244873,0.08272504806518555,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.5054347826086957,0.26372861862182617,0.0827021598815918,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.5081521739130435,0.2633950710296631,0.08268141746520996,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.49184782608695654,0.2643015384674072,0.08263540267944336,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,0.8662790697674418,0.18987321853637695,0.04569649696350098,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,0.872093023255814,0.18983054161071777,0.04565930366516113,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,0.8372093023255814,0.1895439624786377,0.045632362365722656,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,0.8662790697674418,0.1898057460784912,0.04562807083129883,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,0.8604651162790697,0.18909573554992676,0.04568839073181152,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,0.71875,0.1804356575012207,0.03762960433959961,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,0.75,0.17935943603515625,0.03784370422363281,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,0.640625,0.1795969009399414,0.037764787673950195,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,0.6875,0.17903375625610352,0.03783869743347168,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,0.6171875,0.1799333095550537,0.03765439987182617,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,0.967032967032967,0.1608424186706543,0.030968189239501953,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,1.0,0.16024303436279297,0.030852079391479492,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,0.989010989010989,0.16043949127197266,0.03086543083190918,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,0.978021978021978,0.16016387939453125,0.03085160255432129,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,0.978021978021978,0.16007685661315918,0.030925512313842773,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,0.9090909090909091,0.14055204391479492,0.019826650619506836,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,0.8787878787878788,0.1399989128112793,0.019826412200927734,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,0.8787878787878788,0.14026784896850586,0.019909143447875977,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,0.8484848484848485,0.14059734344482422,0.01983475685119629,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,0.8181818181818182,0.1403672695159912,0.019828319549560547,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,0.8333333333333334,0.15837359428405762,0.029574871063232422,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,0.8333333333333334,0.15712261199951172,0.029567956924438477,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,0.8095238095238095,0.15803194046020508,0.029612064361572266,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,0.8452380952380952,0.15790724754333496,0.029681921005249023,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,0.8690476190476191,0.15886473655700684,0.029634952545166016,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,0.953125,0.18886518478393555,0.049225807189941406,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,0.9375,0.18827557563781738,0.049266815185546875,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,0.9479166666666666,0.18866968154907227,0.04936814308166504,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,0.953125,0.1884756088256836,0.049280643463134766,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,0.9583333333333334,0.18849611282348633,0.049208641052246094,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,0.9010416666666666,0.1892387866973877,0.04914259910583496,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,0.890625,0.18884062767028809,0.04910635948181152,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,0.90625,0.18852686882019043,0.04921269416809082,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,0.8958333333333334,0.18822598457336426,0.049128055572509766,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,0.890625,0.1886744499206543,0.04925799369812012,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.92,0.13672995567321777,0.018407106399536133,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.88,0.13650131225585938,0.018334150314331055,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.88,0.137099027633667,0.018480539321899414,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.88,0.13637900352478027,0.018419265747070312,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.88,0.13699078559875488,0.018447160720825195,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,0.7083333333333334,0.14803552627563477,0.02309727668762207,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,0.6458333333333334,0.14807701110839844,0.02305293083190918,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,0.6041666666666666,0.14799237251281738,0.02301502227783203,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,0.625,0.1477820873260498,0.022973299026489258,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,0.6875,0.1477651596069336,0.022949695587158203,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
