name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions
UCIHAR,0.0030539531726390123,4.950852394104004,11.796077728271484,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
UCIHAR,0.0030539531726390123,4.950852394104004,13.157201528549194,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
UCIHAR,0.002035968704149127,4.950852394104004,13.183376789093018,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
CIFAR10,0.32659998536109924,57.238505363464355,61.37955069541931,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,0
CIFAR10,0.31709998846054077,57.238505363464355,59.92833089828491,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,5
CIFAR10,0.30550000071525574,57.238505363464355,61.52173352241516,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,10
CIFAR10,0.2741999924182892,57.238505363464355,65.72599720954895,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,20
CIFAR10,0.22450000047683716,57.238505363464355,67.75658440589905,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,30
CIFAR10,0.16380000114440918,57.238505363464355,62.1979444026947,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,40
CIFAR10,0.1039000004529953,57.238505363464355,54.649916648864746,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,50
CIFAR10,0.055799998342990875,57.238505363464355,54.169230461120605,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,60
CIFAR10,0.03370000049471855,57.238505363464355,56.22200059890747,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,70
CIFAR10,0.026799999177455902,57.238505363464355,53.377079010009766,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,80
CIFAR10,0.018300000578165054,57.238505363464355,55.57300901412964,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,90
CIFAR10,0.016899999231100082,57.238505363464355,52.259260177612305,10000,online,density,30,1,,,,,,,,,,,,5,reset,0.25,100
